,Artist Number,Artist,Lead Streams,Tracks,1b,100m,10m,1m,Feat Streams,Update
0,1,Drake,50942819980,262,7,133,256,259,19858928144,21.10.22
1,2,Bad Bunny,46206549533,164,8,119,157,162,5162523739,21.10.22
2,3,Ed Sheeran,38748062755,243,10,63,180,221,2780754120,21.10.22
3,4,The Weeknd,35642810528,186,8,74,147,170,4371711017,20.10.22
4,5,Taylor Swift,33917083840,343,1,102,260,334,431943666,22.10.22
5,6,Justin Bieber,32986384625,225,6,58,175,197,10910652398,21.10.22
6,7,Ariana Grande,32717563607,181,8,71,129,175,2072985444,21.10.22
7,8,Eminem,30973887714,301,6,65,228,268,4236456047,21.10.22
8,9,Post Malone,30258079120,99,9,57,80,83,2767418198,21.10.22
9,10,BTS,29207158405,263,2,100,211,263,334156210,21.10.22
10,11,J Balvin,26231843518,245,3,66,147,227,9507773002,20.10.22
11,12,Kanye West,26126712165,239,1,65,197,221,5855995205,22.10.22
12,13,Billie Eilish,24164391897,64,4,48,59,63,0,22.10.22
13,14,Juice WRLD,23545775655,117,3,62,115,116,3825982816,21.10.22
14,15,Coldplay,22697814330,302,5,35,178,280,0,21.10.22
15,16,Dua Lipa,22627473321,198,7,36,84,166,355520515,22.10.22
16,17,Imagine Dragons,22265900457,189,4,42,111,155,66751029,21.10.22
17,18,XXXTENTACION,22062905104,143,7,45,110,138,2698495083,19.10.22
18,19,Ozuna,21403816445,234,1,52,159,208,7594797106,20.10.22
19,20,Khalid,21288393493,122,7,41,95,112,2955897692,22.10.22
20,21,Rihanna,21106916834,279,2,46,112,208,6927828613,21.10.22
21,22,Maroon 5,20238163665,241,7,31,111,198,18905,21.10.22
22,23,Travis Scott,19835122840,110,4,49,88,105,10634331992,21.10.22
23,24,David Guetta,19590036340,721,1,47,153,404,1212795638,21.10.22
24,25,Shawn Mendes,19220943631,128,5,34,94,125,48474866,21.10.22
25,26,Bruno Mars,18510157426,80,5,31,61,75,3962640916,21.10.22
26,27,Daddy Yankee,18405426072,358,4,44,107,241,5759844337,20.10.22
27,28,Calvin Harris,18156693552,238,3,29,89,192,428561138,16.10.22
28,29,Kendrick Lamar,18028304129,121,2,41,113,117,8751524757,21.10.22
29,30,Sam Smith,17349883251,148,4,34,85,139,262512364,20.10.22
30,31,Queen,16808606364,558,4,25,97,411,35877923,20.10.22
31,32,Beyoncé,15988701757,366,1,38,173,268,1974644368,22.10.22
32,33,Future,15829037502,507,2,31,234,372,9563211468,18.10.22
33,34,One Direction,15750836883,124,0,45,100,118,0,21.10.22
34,35,The Chainsmokers,15611545839,198,4,27,79,169,238452821,10.10.22
35,36,Lady Gaga,15174123172,314,1,27,108,204,95947144,22.10.22
36,37,J. Cole,15082070356,138,1,40,112,137,3351006786,16.10.22
37,38,Nicki Minaj,15015129149,172,2,36,119,163,10656089753,21.10.22
38,39,Anuel AA,14651524161,161,1,36,138,154,4595435790,21.10.22
39,40,Adele,14637436073,70,4,27,59,69,37670883,21.10.22
40,41,Halsey,14363525117,180,3,24,100,135,2506308262,20.10.22
41,42,The Beatles,14208499749,795,0,39,188,460,0,20.10.22
42,43,Selena Gomez,14109747663,139,3,25,82,125,2097905659,21.10.22
43,44,Harry Styles,13926788877,39,4,35,37,38,1686459,21.10.22
44,45,Sia,13773094277,325,2,26,107,236,4617865569,21.10.22
45,46,Chris Brown,13739820859,370,0,33,173,303,8505682950,10.10.22
46,47,Maluma,13366808296,199,1,34,131,187,6577176655,15.10.22
47,48,Marshmello,13286552973,164,4,20,88,155,651929684,21.10.22
48,49,Linkin Park,13160959884,348,2,30,113,280,48339654,17.10.22
49,50,Lil Uzi Vert,13158487088,141,1,34,124,140,8529213663,19.10.22
50,51,Twenty One Pilots,13082113840,90,3,36,75,89,0,18.10.22
51,52,Katy Perry,12876090927,179,0,30,88,145,1232117963,21.10.22
52,53,Lana Del Rey,12831184160,166,0,37,120,156,854950220,21.10.22
53,54,Rauw Alejandro,12718406112,176,0,32,103,145,2593812500,21.10.22
